Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.419s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26	ap-27	ap-28	ap-29	ap-30	ap-31	ap-32	ap-33	ap-34	ap-35
104.000	0.683	0.577	0.553	0.000	0.000	0.000	0.000	1.001	0.294	0.553	1.001	0.000	0.000	0.306	0.000	0.247	0.000	0.000	0.153	0.224	0.106	0.000	0.000	0.000	0.412	1.001	0.342	0.601	1.001	0.000	0.236	0.024	0.106	0.294	0.459	0.000
105.000	0.565	0.565	0.495	0.000	0.000	0.000	0.024	1.001	0.024	0.907	1.001	0.000	0.000	0.659	0.000	0.695	0.000	0.000	0.342	0.412	0.012	0.000	0.000	0.000	0.200	1.001	0.012	0.612	1.001	0.059	0.283	0.577	0.000	0.377	0.966	0.106
106.000	0.412	0.412	0.165	0.000	0.000	0.000	0.047	1.001	0.695	0.765	1.001	0.000	0.000	0.683	0.059	0.459	0.000	0.000	0.012	0.094	0.024	0.000	0.000	0.000	0.801	1.001	0.024	0.071	1.001	0.824	0.377	0.919	0.000	0.071	0.389	0.589
107.000	0.330	0.483	0.188	0.000	0.000	0.000	0.412	1.001	0.353	0.365	1.001	0.000	0.130	0.342	0.035	0.400	0.000	0.000	0.353	0.601	0.000	0.000	0.000	0.000	0.294	1.001	0.224	0.801	1.001	0.236	0.082	0.707	0.000	0.365	0.648	0.188
108.000	0.177	0.707	0.177	0.000	0.000	0.000	0.318	1.001	0.353	1.166	1.001	0.000	0.106	0.506	0.000	0.836	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.542	1.001	0.141	0.565	1.001	0.742	0.200	0.577	0.035	0.165	0.930	0.506
109.000	0.589	0.659	0.318	0.000	0.000	0.000	0.330	1.001	0.212	0.659	0.989	0.000	0.071	0.495	0.047	0.707	0.000	0.000	0.012	0.695	0.400	0.000	0.000	0.000	0.400	0.989	0.153	0.106	0.989	0.577	0.330	0.483	0.094	0.035	0.471	0.106
110.000	0.071	0.483	0.212	0.000	0.000	0.000	0.483	0.989	0.035	0.813	1.001	0.000	0.471	0.330	0.000	0.695	0.000	0.000	0.035	0.353	0.342	0.000	0.000	0.000	0.400	1.001	0.330	0.247	1.001	0.836	0.530	0.236	0.012	0.047	0.577	0.824
111.000	0.506	0.648	0.188	0.000	0.000	0.000	0.683	1.001	0.012	0.907	1.001	0.000	0.106	0.318	0.000	0.624	0.000	0.000	0.377	0.412	0.259	0.000	0.000	0.000	0.542	1.001	0.059	0.259	1.001	0.542	0.412	0.342	0.012	0.294	0.801	0.377
112.000	0.330	0.659	0.459	0.000	0.000	0.000	0.683	1.001	0.165	0.683	1.001	0.000	0.400	0.236	0.000	0.601	0.000	0.000	0.271	0.283	0.094	0.000	0.000	0.000	0.200	1.001	0.353	0.024	1.001	0.730	0.259	0.259	0.153	0.047	0.553	0.353
113.000	0.330	0.506	0.224	0.000	0.000	0.000	0.247	1.001	0.447	0.495	1.001	0.000	0.047	0.106	0.118	0.318	0.000	0.000	0.247	0.506	0.047	0.000	0.000	0.000	0.330	1.001	0.294	0.589	1.001	0.471	0.259	0.165	0.106	0.318	0.447	0.377
114.000	0.130	0.648	0.553	0.000	0.000	0.000	0.506	1.001	0.071	0.718	1.001	0.000	0.047	0.389	0.130	0.353	0.000	0.000	0.365	0.636	0.271	0.000	0.000	0.000	0.188	1.001	0.271	0.542	1.001	0.589	0.188	0.283	0.000	0.212	0.636	0.342
115.000	0.141	0.530	0.400	0.000	0.000	0.000	0.577	1.001	0.024	0.954	1.001	0.000	0.353	0.082	0.035	0.836	0.000	0.000	0.271	0.389	0.153	0.000	0.000	0.000	0.000	1.001	0.000	0.283	1.001	0.612	0.024	0.589	0.000	0.294	0.848	0.424
116.000	0.447	0.577	0.224	0.000	0.000	0.000	0.471	1.001	0.082	0.824	1.001	0.000	0.153	0.118	0.012	0.707	0.000	0.000	0.130	0.094	0.035	0.000	0.000	0.000	0.813	1.001	0.000	0.459	1.001	0.648	0.636	0.577	0.000	0.106	0.177	0.553
117.000	0.224	0.483	0.236	0.000	0.000	0.000	0.589	1.001	0.024	0.730	1.001	0.000	0.412	0.318	0.000	0.742	0.000	0.000	0.400	0.601	0.047	0.000	0.000	0.000	0.318	1.001	0.012	0.471	1.001	0.565	0.200	0.577	0.012	0.165	0.954	0.365
118.000	0.318	0.530	0.130	0.000	0.000	0.000	0.612	1.001	0.377	1.048	1.001	0.000	0.200	0.447	0.059	0.730	0.000	0.000	0.082	0.342	0.000	0.000	0.000	0.000	0.377	1.001	0.035	0.718	1.001	0.471	0.259	0.565	0.000	0.200	0.824	0.177
119.000	0.353	0.612	0.271	0.000	0.000	0.000	0.459	1.001	0.153	0.671	1.001	0.000	0.071	0.353	0.106	0.271	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.506	1.001	0.047	0.271	1.001	0.283	0.530	0.365	0.130	0.259	0.754	0.177
120.000	0.447	0.612	0.365	0.000	0.000	0.000	0.683	1.001	0.024	0.754	1.001	0.000	0.353	0.247	0.000	0.718	0.000	0.000	0.400	0.447	0.153	0.000	0.000	0.000	0.612	1.001	0.082	0.589	1.001	0.436	0.283	0.200	0.082	0.283	0.330	0.424
