Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.413s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26	ap-27	ap-28	ap-29	ap-30	ap-31	ap-32	ap-33	ap-34	ap-35
97.000	0.000	0.000	0.306	1.025	0.718	0.000	0.000	0.989	0.412	0.989	0.000	0.000	0.212	0.118	0.000	0.000	0.000	0.000	0.824	0.989	0.000	0.000	0.989	0.977	0.236	0.000	0.000	0.989	0.259	0.000	0.165	0.000	0.400	0.966	0.648	0.000
98.000	0.000	0.000	0.400	0.695	0.707	0.000	0.000	1.001	1.072	1.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.553	1.001	0.000	0.000	1.001	0.871	0.342	0.000	0.000	1.001	1.178	0.000	0.400	0.000	0.683	0.707	0.707	0.000
99.000	0.000	0.000	0.400	0.306	0.294	0.000	0.000	1.001	1.001	1.001	0.000	0.000	0.000	0.506	0.000	0.000	0.447	0.000	0.742	1.001	0.000	0.247	1.001	1.048	0.589	0.000	0.000	1.001	1.001	0.000	0.412	0.000	0.754	0.836	0.612	0.000
100.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.001	1.001	1.001	0.000	0.000	0.000	0.801	0.000	0.000	1.083	0.000	0.789	1.001	0.000	0.883	1.001	1.001	0.848	0.000	0.000	1.001	0.659	0.000	0.860	0.000	0.624	0.919	0.789	0.000
101.000	0.000	0.000	0.000	0.530	0.000	0.000	0.000	1.001	0.907	1.001	0.707	0.000	0.000	0.542	0.000	0.000	0.860	0.000	0.695	1.001	0.000	0.836	1.001	0.966	0.365	0.118	0.000	1.001	0.707	0.000	0.247	0.130	0.636	0.919	0.742	0.000
102.000	0.000	0.000	0.000	0.671	0.612	0.000	0.000	1.001	0.813	1.001	0.589	0.000	0.247	0.754	0.000	0.000	0.919	0.000	0.471	1.001	0.000	0.930	1.001	0.754	0.577	0.059	0.000	1.001	0.542	0.000	0.577	0.012	0.330	0.601	0.495	0.000
103.000	0.000	0.000	0.000	1.025	0.271	0.000	0.000	1.001	1.130	1.001	0.942	0.000	0.730	0.883	0.294	0.000	0.765	0.000	0.601	1.001	0.000	0.035	1.001	0.589	0.165	0.047	0.000	1.001	0.695	0.000	0.130	0.200	0.742	0.919	0.707	0.000
104.000	0.000	0.000	0.000	0.942	0.000	0.000	0.000	1.001	0.777	1.001	0.954	0.000	0.777	1.013	0.954	0.000	0.895	0.000	0.742	1.001	0.000	0.000	1.001	1.295	0.553	0.447	0.000	1.001	0.000	0.000	0.259	0.777	0.377	0.765	0.389	0.000
105.000	0.000	0.000	0.236	0.648	0.118	0.000	0.000	1.001	0.648	1.001	0.860	0.000	0.459	0.777	0.742	0.000	1.154	0.000	0.224	1.001	0.000	0.000	1.001	0.942	0.071	0.000	0.000	1.001	0.000	0.000	0.024	0.000	0.059	0.506	0.553	0.000
106.000	0.000	0.000	0.424	0.459	0.236	0.000	0.000	1.001	0.530	1.001	0.648	0.000	0.671	0.718	0.365	0.000	0.930	0.000	0.094	1.001	0.000	0.000	1.001	0.942	0.153	0.012	0.000	1.001	0.000	0.000	0.165	0.000	0.000	0.000	0.000	0.000
107.000	0.000	0.000	0.283	0.601	0.059	0.000	0.000	1.001	0.283	1.001	0.789	0.000	0.024	1.119	0.483	0.000	0.907	0.000	0.000	1.001	0.000	0.000	1.001	0.942	0.000	0.000	0.000	1.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
108.000	0.000	0.000	0.000	0.506	0.389	0.000	0.000	1.001	1.130	1.001	0.436	0.000	0.000	0.907	0.000	0.000	0.907	0.000	0.000	1.001	0.000	0.000	1.001	0.930	0.000	0.000	0.000	1.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
109.000	0.000	0.000	0.000	0.789	0.330	0.000	0.000	1.001	0.813	0.989	0.589	0.000	0.000	0.919	0.000	0.000	0.895	0.000	0.000	0.989	0.000	0.000	0.989	0.871	0.000	0.000	0.000	0.989	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
110.000	0.000	0.000	0.000	0.447	0.247	0.000	0.000	0.989	0.848	1.001	0.365	0.000	0.000	0.848	0.000	0.000	0.895	0.000	0.000	1.001	0.000	0.000	1.001	0.930	0.000	0.000	0.000	1.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
111.000	0.000	0.000	0.000	0.624	0.271	0.000	0.000	1.001	0.436	1.001	0.506	0.000	0.000	0.789	0.306	0.000	0.966	0.000	0.000	1.001	0.000	0.000	1.001	0.977	0.000	0.000	0.000	1.001	0.919	0.000	0.000	0.000	0.000	0.000	0.000	0.000
112.000	0.000	0.000	0.000	0.860	0.000	0.000	0.000	1.001	0.471	1.001	0.365	0.000	0.000	1.095	0.212	0.000	0.742	0.000	0.000	1.001	0.000	0.000	1.001	0.883	0.000	0.000	0.000	1.001	1.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000
113.000	0.000	0.000	0.000	0.871	0.648	0.000	0.000	1.001	1.154	1.001	1.083	0.000	0.000	0.930	0.000	0.000	0.671	0.000	0.648	1.001	0.000	0.000	1.001	0.895	0.000	0.000	0.000	1.001	0.977	0.813	0.000	0.000	0.000	0.000	0.000	0.000
114.000	0.000	0.000	0.000	0.871	0.954	0.000	0.000	1.001	0.836	1.001	0.977	0.000	0.000	0.977	0.000	0.000	1.060	0.000	0.989	1.001	0.000	0.000	1.001	0.813	0.000	0.000	0.000	1.001	0.824	0.707	0.000	0.000	0.000	0.000	0.000	0.000
115.000	0.000	0.000	0.000	0.271	0.294	0.000	0.000	1.001	0.495	1.001	0.624	0.000	0.871	0.648	0.000	0.000	0.695	0.000	0.966	1.001	0.000	0.000	1.001	0.977	0.000	0.000	0.000	1.001	1.201	1.307	0.000	0.000	0.000	0.000	0.000	0.000
116.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.001	0.542	1.001	0.177	0.000	0.801	1.095	0.000	0.000	1.060	0.000	0.707	1.001	0.000	0.000	1.001	0.483	0.000	0.000	0.000	1.001	0.801	0.695	0.000	0.000	0.000	0.000	0.000	0.000
117.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.001	1.036	1.001	1.189	0.000	1.060	0.930	0.000	0.000	0.318	0.495	1.095	1.001	0.000	0.000	1.001	0.848	0.000	0.000	0.000	1.001	0.518	0.342	0.000	0.000	0.000	0.683	0.000	0.000
118.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.001	0.648	1.001	0.907	0.000	0.871	1.001	0.000	0.000	1.413	0.400	0.860	1.001	0.000	0.000	1.001	0.400	0.000	0.000	0.000	1.001	0.860	0.342	0.000	0.000	0.000	0.919	0.000	0.000
119.000	0.000	0.000	0.000	0.471	0.000	0.000	0.000	1.001	1.001	1.001	1.013	0.000	1.025	0.907	0.000	0.000	0.612	0.377	1.025	1.001	0.000	0.000	1.001	0.695	0.000	0.000	0.000	1.001	0.836	0.730	0.000	0.000	0.601	0.895	0.000	0.000
120.000	0.000	0.000	0.000	0.907	0.000	0.000	0.000	1.001	1.001	1.001	0.907	0.000	0.989	0.989	0.000	0.000	0.624	0.942	0.989	1.001	0.000	0.000	1.001	1.013	0.000	0.000	0.000	1.001	0.412	0.483	0.000	0.000	0.977	1.025	0.000	0.000
