Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.363s)
CreateVariables () DONE !!!
Creating 9 APs 35.00 and 35.00 m apart.
CreateApNodes () DONE !!!
Creating CL 10.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8
97.00	-1.00	-1.00	3.83	-1.00	-1.00	0.41	-1.00	-1.00	1.12
98.00	-1.00	-1.00	1.88	-1.00	-1.00	3.77	-1.00	-1.00	3.00
99.00	-1.00	-1.00	4.77	-1.00	-1.00	4.36	-1.00	-1.00	2.12
100.00	-1.00	-1.00	2.12	-1.00	-1.00	0.41	-1.00	-1.00	2.59
101.00	-1.00	-1.00	4.53	-1.00	-1.00	3.53	-1.00	-1.00	0.82
102.00	-1.00	-1.00	2.41	-1.00	-1.00	1.24	-1.00	-1.00	3.12
103.00	-1.00	-1.00	2.00	-1.00	-1.00	4.12	-1.00	-1.00	2.83
104.00	-1.00	-1.00	2.65	-1.00	-1.00	3.36	-1.00	-1.00	2.94
105.00	-1.00	-1.00	4.42	-1.00	-1.00	4.00	-1.00	-1.00	2.53
106.00	-1.00	-1.00	2.94	-1.00	-1.00	4.12	-1.00	-1.00	2.30
107.00	-1.00	-1.00	2.18	-1.00	-1.00	1.65	-1.00	-1.00	2.18
108.00	-1.00	-1.00	2.00	-1.00	-1.00	0.53	-1.00	-1.00	2.00
109.00	-1.00	-1.00	2.94	-1.00	-1.00	4.65	-1.00	-1.00	2.53
110.00	-1.00	-1.00	3.47	-1.00	-1.00	2.71	-1.00	-1.00	3.71
111.00	-1.00	-1.00	1.24	-1.00	-1.00	3.59	-1.00	-1.00	3.65
112.00	-1.00	-1.00	3.24	-1.00	-1.00	2.83	-1.00	-1.00	2.59
113.00	-1.00	-1.00	2.77	-1.00	-1.00	4.12	-1.00	-1.00	2.06
114.00	-1.00	-1.00	2.06	-1.00	-1.00	0.82	-1.00	-1.00	2.94
115.00	-1.00	-1.00	1.30	-1.00	-1.00	4.36	-1.00	-1.00	2.83
116.00	-1.00	-1.00	2.06	-1.00	-1.00	3.06	-1.00	-1.00	3.83
117.00	-1.00	-1.00	2.24	-1.00	-1.00	1.12	-1.00	-1.00	0.88
118.00	-1.00	-1.00	0.35	-1.00	-1.00	3.18	-1.00	-1.00	1.53
119.00	-1.00	-1.00	2.77	-1.00	-1.00	0.53	-1.00	-1.00	3.89
10.1.1.9	2.62	19595.58
10.1.1.6	2.48	10891.92
10.1.1.3	2.48	17702.83
