Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.641s)
CreateVariables () DONE !!!
Creating 6 APs 25.00 m length apart  20.00m width apart.
CreateApNodes () DONE !!!
Creating 0 CLs 30 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
00:00:00:00:00:01
00:00:00:00:00:02
00:00:00:00:00:03
00:00:00:00:00:04
00:00:00:00:00:05
00:00:00:00:00:06
CreateAdhocDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
Static Routing Rules Set.
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 400.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5
112.00	7.69	-1.00	-1.00	-1.00	-1.00	13.50
113.00	13.34	-1.00	-1.00	-1.00	-1.00	1.07
114.00	9.90	-1.00	-1.00	-1.00	-1.00	12.44
115.00	11.74	-1.00	-1.00	-1.00	-1.00	6.49
116.00	6.98	-1.00	-1.00	-1.00	-1.00	10.42
117.00	8.71	-1.00	-1.00	-1.00	-1.00	5.66
118.00	11.99	-1.00	-1.00	-1.00	-1.00	8.14
119.00	12.99	-1.00	-1.00	-1.00	-1.00	4.78
120.00	5.82	-1.00	-1.00	-1.00	-1.00	12.29
121.00	5.55	-1.00	-1.00	-1.00	-1.00	12.38
122.00	3.96	-1.00	-1.00	-1.00	-1.00	10.04
123.00	0.00	-1.00	-1.00	-1.00	-1.00	11.18
124.00	0.00	-1.00	-1.00	-1.00	-1.00	12.79
125.00	0.00	-1.00	-1.00	-1.00	-1.00	12.59
126.00	0.00	-1.00	-1.00	-1.00	-1.00	11.22
127.00	0.00	-1.00	-1.00	-1.00	-1.00	12.42
128.00	0.00	-1.00	-1.00	-1.00	-1.00	9.67
129.00	0.00	-1.00	-1.00	-1.00	-1.00	12.52
130.00	0.00	-1.00	-1.00	-1.00	-1.00	12.11
131.00	0.00	-1.00	-1.00	-1.00	-1.00	11.75
132.00	0.00	-1.00	-1.00	-1.00	-1.00	12.73
133.00	0.00	-1.00	-1.00	-1.00	-1.00	15.38
134.00	0.00	-1.00	-1.00	-1.00	-1.00	12.94
135.00	0.00	-1.00	-1.00	-1.00	-1.00	9.95
136.00	0.00	-1.00	-1.00	-1.00	-1.00	14.71
137.00	0.00	-1.00	-1.00	-1.00	-1.00	14.58
138.00	0.00	-1.00	-1.00	-1.00	-1.00	10.45
139.00	0.00	-1.00	-1.00	-1.00	-1.00	13.79
140.00	0.00	-1.00	-1.00	-1.00	-1.00	15.11
141.00	0.00	-1.00	-1.00	-1.00	-1.00	11.00
142.00	0.00	-1.00	-1.00	-1.00	-1.00	15.58
143.00	0.00	-1.00	-1.00	-1.00	-1.00	14.80
144.00	0.00	-1.00	-1.00	-1.00	-1.00	13.42
145.00	0.00	-1.00	-1.00	-1.00	-1.00	11.48
146.00	0.00	-1.00	-1.00	-1.00	-1.00	10.66
147.00	0.00	-1.00	-1.00	-1.00	-1.00	14.43
148.00	0.00	-1.00	-1.00	-1.00	-1.00	15.90
149.00	0.00	-1.00	-1.00	-1.00	-1.00	14.03
150.00	0.00	-1.00	-1.00	-1.00	-1.00	14.67
151.00	0.00	-1.00	-1.00	-1.00	-1.00	15.31
152.00	0.00	-1.00	-1.00	-1.00	-1.00	13.87
153.00	0.00	-1.00	-1.00	-1.00	-1.00	17.72
154.00	0.00	-1.00	-1.00	-1.00	-1.00	12.54
155.00	0.00	-1.00	-1.00	-1.00	-1.00	15.10
156.00	0.00	-1.00	-1.00	-1.00	-1.00	15.66
157.00	0.00	-1.00	-1.00	-1.00	-1.00	13.07
158.00	0.00	-1.00	-1.00	-1.00	-1.00	11.43
159.00	0.00	-1.00	-1.00	-1.00	-1.00	17.83
160.00	0.00	-1.00	-1.00	-1.00	-1.00	18.69
161.00	0.00	-1.00	-1.00	-1.00	-1.00	12.89
162.00	0.00	-1.00	-1.00	-1.00	-1.00	19.56
163.00	0.00	-1.00	-1.00	-1.00	-1.00	5.42
164.00	0.00	-1.00	-1.00	-1.00	-1.00	13.04
165.00	0.00	-1.00	-1.00	-1.00	-1.00	12.65
166.00	0.00	-1.00	-1.00	-1.00	-1.00	11.88
167.00	0.00	-1.00	-1.00	-1.00	-1.00	16.49
168.00	0.00	-1.00	-1.00	-1.00	-1.00	13.91
169.00	0.00	-1.00	-1.00	-1.00	-1.00	17.62
170.00	0.00	-1.00	-1.00	-1.00	-1.00	22.01
171.00	0.00	-1.00	-1.00	-1.00	-1.00	18.24
172.00	0.00	-1.00	-1.00	-1.00	-1.00	11.81
173.00	0.00	-1.00	-1.00	-1.00	-1.00	16.17
174.00	0.00	-1.00	-1.00	-1.00	-1.00	12.64
175.00	0.00	-1.00	-1.00	-1.00	-1.00	9.82
176.00	0.00	-1.00	-1.00	-1.00	-1.00	12.85
177.00	0.00	-1.00	-1.00	-1.00	-1.00	14.87
178.00	0.00	-1.00	-1.00	-1.00	-1.00	9.87
179.00	0.00	-1.00	-1.00	-1.00	-1.00	16.82
180.00	0.00	-1.00	-1.00	-1.00	-1.00	19.63
181.00	0.00	-1.00	-1.00	-1.00	-1.00	12.55
182.00	0.00	-1.00	-1.00	-1.00	-1.00	14.50
183.00	0.00	-1.00	-1.00	-1.00	-1.00	7.07
184.00	0.00	-1.00	-1.00	-1.00	-1.00	6.45
185.00	0.00	-1.00	-1.00	-1.00	-1.00	10.54
186.00	0.00	-1.00	-1.00	-1.00	-1.00	9.59
187.00	0.00	-1.00	-1.00	-1.00	-1.00	23.05
188.00	0.00	-1.00	-1.00	-1.00	-1.00	6.74
189.00	0.00	-1.00	-1.00	-1.00	-1.00	14.17
190.00	0.00	-1.00	-1.00	-1.00	-1.00	19.07
191.00	0.00	-1.00	-1.00	-1.00	-1.00	18.70
192.00	0.00	-1.00	-1.00	-1.00	-1.00	9.99
193.00	0.00	-1.00	-1.00	-1.00	-1.00	11.45
194.00	0.00	-1.00	-1.00	-1.00	-1.00	8.71
195.00	0.00	-1.00	-1.00	-1.00	-1.00	8.36
196.00	0.00	-1.00	-1.00	-1.00	-1.00	16.88
197.00	0.00	-1.00	-1.00	-1.00	-1.00	15.74
198.00	0.00	-1.00	-1.00	-1.00	-1.00	12.97
199.00	0.00	-1.00	-1.00	-1.00	-1.00	4.59
200.00	0.00	-1.00	-1.00	-1.00	-1.00	13.37
201.00	0.00	-1.00	-1.00	-1.00	-1.00	9.39
