Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.325s)
CreateVariables () DONE !!!
Creating 6 APs 25.00 m length apart  20.00m width apart.
CreateApNodes () DONE !!!
Creating 0 CLs 30 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
00:00:00:00:00:01
00:00:00:00:00:02
00:00:00:00:00:03
00:00:00:00:00:04
00:00:00:00:00:05
00:00:00:00:00:06
CreateAdhocDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
Static Routing Rules Set.
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 400.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5
211.00	0.00	-1.00	-1.00	-1.00	-1.00	11.63
212.00	0.00	-1.00	-1.00	-1.00	-1.00	21.64
213.00	0.00	-1.00	-1.00	-1.00	-1.00	21.80
214.00	0.00	-1.00	-1.00	-1.00	-1.00	19.02
215.00	0.00	-1.00	-1.00	-1.00	-1.00	19.24
216.00	0.00	-1.00	-1.00	-1.00	-1.00	17.90
217.00	0.00	-1.00	-1.00	-1.00	-1.00	17.68
218.00	0.00	-1.00	-1.00	-1.00	-1.00	18.35
219.00	0.00	-1.00	-1.00	-1.00	-1.00	19.69
220.00	0.00	-1.00	-1.00	-1.00	-1.00	17.00
221.00	0.00	-1.00	-1.00	-1.00	-1.00	18.12
222.00	0.00	-1.00	-1.00	-1.00	-1.00	20.54
223.00	0.00	-1.00	-1.00	-1.00	-1.00	19.69
224.00	0.00	-1.00	-1.00	-1.00	-1.00	19.47
225.00	0.00	-1.00	-1.00	-1.00	-1.00	8.73
226.00	0.00	-1.00	-1.00	-1.00	-1.00	18.95
227.00	0.00	-1.00	-1.00	-1.00	-1.00	19.24
228.00	0.00	-1.00	-1.00	-1.00	-1.00	21.88
229.00	0.00	-1.00	-1.00	-1.00	-1.00	18.79
230.00	0.00	-1.00	-1.00	-1.00	-1.00	23.48
231.00	0.00	-1.00	-1.00	-1.00	-1.00	19.47
232.00	0.00	-1.00	-1.00	-1.00	-1.00	19.02
233.00	0.00	-1.00	-1.00	-1.00	-1.00	13.87
234.00	0.00	-1.00	-1.00	-1.00	-1.00	22.01
235.00	0.00	-1.00	-1.00	-1.00	-1.00	12.31
236.00	0.00	-1.00	-1.00	-1.00	-1.00	14.99
237.00	0.00	-1.00	-1.00	-1.00	-1.00	19.69
238.00	0.00	-1.00	-1.00	-1.00	-1.00	18.57
239.00	0.00	-1.00	-1.00	-1.00	-1.00	19.47
240.00	0.00	-1.00	-1.00	-1.00	-1.00	24.28
241.00	0.00	-1.00	-1.00	-1.00	-1.00	18.35
242.00	0.00	-1.00	-1.00	-1.00	-1.00	16.63
243.00	0.00	-1.00	-1.00	-1.00	-1.00	20.14
244.00	0.00	-1.00	-1.00	-1.00	-1.00	19.91
245.00	0.00	-1.00	-1.00	-1.00	-1.00	18.57
246.00	0.00	-1.00	-1.00	-1.00	-1.00	18.79
247.00	0.00	-1.00	-1.00	-1.00	-1.00	18.30
248.00	0.00	-1.00	-1.00	-1.00	-1.00	19.07
249.00	0.00	-1.00	-1.00	-1.00	-1.00	17.45
250.00	0.00	-1.00	-1.00	-1.00	-1.00	19.02
251.00	0.00	-1.00	-1.00	-1.00	-1.00	16.77
252.00	0.00	-1.00	-1.00	-1.00	-1.00	18.12
253.00	0.00	-1.00	-1.00	-1.00	-1.00	19.91
254.00	0.00	-1.00	-1.00	-1.00	-1.00	19.02
255.00	0.00	-1.00	-1.00	-1.00	-1.00	19.37
256.00	0.00	-1.00	-1.00	-1.00	-1.00	17.90
257.00	0.00	-1.00	-1.00	-1.00	-1.00	19.02
258.00	0.00	-1.00	-1.00	-1.00	-1.00	19.69
259.00	0.00	-1.00	-1.00	-1.00	-1.00	18.57
260.00	0.00	-1.00	-1.00	-1.00	-1.00	21.20
261.00	0.00	-1.00	-1.00	-1.00	-1.00	17.23
262.00	0.00	-1.00	-1.00	-1.00	-1.00	19.02
263.00	0.00	-1.00	-1.00	-1.00	-1.00	19.02
Interrupted 
