Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.344s)
CreateVariables () DONE !!!
Creating 6 APs 40.00 and 70.00 m apart.
CreateApNodes () DONE !!!
Creating CL 10.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
InstallApplications () DONE !!!
Starting simulation for 200.00 s ...
-------------------------------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3	cl-4	cl-5
171.00	-1.00	-1.00	0.00	-1.00	-1.00	8.49
172.00	-1.00	-1.00	0.00	-1.00	-1.00	8.50
173.00	-1.00	-1.00	0.00	-1.00	-1.00	8.50
174.00	-1.00	-1.00	0.00	-1.00	-1.00	8.50
175.00	-1.00	-1.00	0.00	-1.00	-1.00	8.50
176.00	-1.00	-1.00	0.00	-1.00	-1.00	8.50
177.00	-1.00	-1.00	0.00	-1.00	-1.00	8.49
178.00	-1.00	-1.00	0.00	-1.00	-1.00	8.50
179.00	-1.00	-1.00	0.00	-1.00	-1.00	8.50
180.00	-1.00	-1.00	0.00	-1.00	-1.00	8.50
181.00	-1.00	-1.00	0.00	-1.00	-1.00	9.00
182.00	-1.00	-1.00	0.00	-1.00	-1.00	9.00
183.00	-1.00	-1.00	0.00	-1.00	-1.00	9.00
184.00	-1.00	-1.00	0.00	-1.00	-1.00	9.01
185.00	-1.00	-1.00	0.00	-1.00	-1.00	9.00
186.00	-1.00	-1.00	0.00	-1.00	-1.00	9.00
187.00	-1.00	-1.00	0.00	-1.00	-1.00	9.00
188.00	-1.00	-1.00	0.00	-1.00	-1.00	9.01
189.00	-1.00	-1.00	0.00	-1.00	-1.00	9.00
190.00	-1.00	-1.00	0.00	-1.00	-1.00	9.00
191.00	-1.00	-1.00	0.00	-1.00	-1.00	9.49
192.00	-1.00	-1.00	0.00	-1.00	-1.00	9.50
193.00	-1.00	-1.00	0.00	-1.00	-1.00	9.50
194.00	-1.00	-1.00	0.00	-1.00	-1.00	9.49
195.00	-1.00	-1.00	0.00	-1.00	-1.00	9.50
196.00	-1.00	-1.00	0.00	-1.00	-1.00	9.50
197.00	-1.00	-1.00	0.00	-1.00	-1.00	9.49
198.00	-1.00	-1.00	0.00	-1.00	-1.00	9.50
199.00	-1.00	-1.00	0.00	-1.00	-1.00	9.50
