Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.798s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
99.000	1.001	0.848	0.707	0.000	0.000	0.506	1.083	0.047	0.024	0.000	0.247	0.082	0.000	0.000	0.000	0.165	0.000	0.000	0.000	0.000	0.106	0.000	0.000	0.000	0.000
100.000	1.001	0.730	0.306	0.000	0.000	0.765	0.553	0.259	0.035	0.000	0.542	0.447	0.000	0.000	0.000	0.059	0.082	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101.000	1.001	0.895	0.330	0.000	0.000	1.025	0.871	0.153	0.000	0.000	0.612	0.000	0.000	0.000	0.000	0.188	0.000	0.000	0.000	0.000	0.177	0.000	0.000	0.000	0.000
102.000	1.001	0.601	0.659	0.000	0.000	0.754	0.342	0.000	0.000	0.000	0.459	0.165	0.000	0.000	0.000	0.542	0.024	0.000	0.000	0.000	0.342	0.000	0.000	0.000	0.000
103.000	1.001	0.848	0.530	0.000	0.000	0.871	0.082	0.000	0.000	0.000	0.542	0.000	0.000	0.000	0.000	0.188	0.000	0.000	0.000	0.000	0.224	0.000	0.000	0.000	0.000
104.000	1.001	0.836	0.813	0.000	0.000	0.989	0.459	0.000	0.047	0.000	0.589	0.224	0.000	0.000	0.000	0.165	0.000	0.000	0.000	0.000	0.177	0.000	0.000	0.000	0.000
105.000	1.001	1.048	0.989	0.000	0.000	0.895	0.718	0.200	0.094	0.024	0.377	0.094	0.000	0.000	0.000	0.247	0.000	0.000	0.000	0.000	0.177	0.000	0.000	0.000	0.000
106.000	1.001	0.754	0.000	0.000	0.000	0.730	1.095	0.106	0.000	0.000	0.530	0.459	0.000	0.000	0.000	0.224	0.012	0.000	0.000	0.000	0.200	0.000	0.000	0.000	0.000
107.000	1.001	0.942	0.777	0.000	0.000	0.542	0.671	0.188	0.024	0.000	0.177	0.377	0.000	0.000	0.000	0.094	0.000	0.000	0.000	0.000	0.082	0.000	0.000	0.000	0.000
108.000	1.001	0.824	0.518	0.000	0.000	1.001	0.447	0.106	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.671	0.000	0.000	0.000	0.000	0.259	0.000	0.000	0.000	0.000
